date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goal_diff,result,home_win,average_age,average_caps,fifa_ranking,recent_tournament_score
1990-06-11,England,Republic of Ireland,1.0,1.0,FIFA World Cup,Cagliari,Italy,True,0.0,0,0,26.2,55.0,5,9.5
1990-06-12,Belgium,South Korea,2.0,0.0,FIFA World Cup,Verona,Italy,True,2.0,1,1,28.5,55.0,8,9.5
1990-06-12,Netherlands,Egypt,1.0,1.0,FIFA World Cup,Palermo,Italy,True,0.0,0,0,27.0,30.0,14,5.0
1990-06-13,Argentina,Russia,2.0,0.0,FIFA World Cup,Naples,Italy,True,2.0,1,1,28.1,60.0,1,9.9
1990-06-13,Uruguay,Spain,0.0,0.0,FIFA World Cup,Udine,Italy,True,0.0,0,0,27.2,30.0,16,5.0
1990-06-14,Cameroon,Romania,2.0,1.0,FIFA World Cup,Bari,Italy,True,1.0,1,1,26.8,30.0,35,5.0
1990-06-14,Italy,United States,1.0,0.0,FIFA World Cup,Rome,Italy,False,1.0,1,1,26.9,30.0,15,5.0
1990-06-15,Austria,Czechoslovakia,0.0,1.0,FIFA World Cup,Florence,Italy,True,-1.0,-1,0,27.2,30.0,27,5.0
1990-06-15,Germany,United Arab Emirates,5.0,1.0,FIFA World Cup,Milan,Italy,True,4.0,1,1,27.5,55.0,9,9.5
1990-06-16,Brazil,Costa Rica,1.0,0.0,FIFA World Cup,Turin,Italy,True,1.0,1,1,27.5,55.0,4,9.5
1990-06-16,England,Netherlands,0.0,0.0,FIFA World Cup,Cagliari,Italy,True,0.0,0,0,26.2,55.0,5,9.5
1990-06-16,Sweden,Scotland,1.0,2.0,FIFA World Cup,Genoa,Italy,True,-1.0,-1,0,27.4,55.0,10,9.5
1990-06-17,Belgium,Uruguay,3.0,1.0,FIFA World Cup,Verona,Italy,True,2.0,1,1,28.5,55.0,8,9.5
1990-06-17,South Korea,Spain,1.0,3.0,FIFA World Cup,Udine,Italy,True,-2.0,-1,0,27.5,30.0,24,5.0
1990-06-18,Argentina,Romania,1.0,1.0,FIFA World Cup,Naples,Italy,True,0.0,0,0,28.1,60.0,1,9.9
1990-06-18,Cameroon,Russia,0.0,4.0,FIFA World Cup,Bari,Italy,True,-4.0,-1,0,26.8,30.0,35,5.0
1990-06-19,Austria,United States,2.0,1.0,FIFA World Cup,Florence,Italy,True,1.0,1,1,27.2,30.0,27,5.0
1990-06-19,Germany,Colombia,1.0,1.0,FIFA World Cup,Milan,Italy,True,0.0,0,0,27.5,55.0,9,9.5
1990-06-19,Italy,Czechoslovakia,2.0,0.0,FIFA World Cup,Rome,Italy,False,2.0,1,1,26.9,30.0,15,5.0
1990-06-20,Brazil,Scotland,1.0,0.0,FIFA World Cup,Turin,Italy,True,1.0,1,1,27.5,55.0,4,9.5
1990-06-20,Sweden,Costa Rica,1.0,2.0,FIFA World Cup,Genoa,Italy,True,-1.0,-1,0,27.4,55.0,10,9.5
1990-06-21,Belgium,Spain,1.0,2.0,FIFA World Cup,Verona,Italy,True,-1.0,-1,0,28.5,55.0,8,9.5
1990-06-21,England,Egypt,1.0,0.0,FIFA World Cup,Cagliari,Italy,True,1.0,1,1,26.2,55.0,5,9.5
1990-06-21,South Korea,Uruguay,0.0,1.0,FIFA World Cup,Udine,Italy,True,-1.0,-1,0,27.5,30.0,24,5.0
1990-06-23,Cameroon,Colombia,2.0,1.0,FIFA World Cup,Naples,Italy,True,1.0,1,1,26.8,30.0,35,5.0
1990-06-24,Brazil,Argentina,0.0,1.0,FIFA World Cup,Turin,Italy,True,-1.0,-1,0,27.5,55.0,4,9.5
1990-06-24,Germany,Netherlands,2.0,1.0,FIFA World Cup,Milan,Italy,True,1.0,1,1,27.5,55.0,9,9.5
1990-06-25,Italy,Uruguay,2.0,0.0,FIFA World Cup,Rome,Italy,False,2.0,1,1,26.9,30.0,15,5.0
1990-06-26,England,Belgium,1.0,0.0,FIFA World Cup,Bologna,Italy,True,1.0,1,1,26.2,55.0,5,9.5
1990-06-26,Spain,Yugoslavia,1.0,2.0,FIFA World Cup,Verona,Italy,True,-1.0,-1,0,26.5,60.0,3,9.8
1990-06-30,Italy,Republic of Ireland,1.0,0.0,FIFA World Cup,Rome,Italy,False,1.0,1,1,26.9,30.0,15,5.0
1990-07-01,Cameroon,England,2.0,3.0,FIFA World Cup,Naples,Italy,True,-1.0,-1,0,26.8,30.0,35,5.0
1990-07-01,Germany,Czechoslovakia,1.0,0.0,FIFA World Cup,Milan,Italy,True,1.0,1,1,27.5,55.0,9,9.5
1990-07-03,Italy,Argentina,1.0,1.0,FIFA World Cup,Naples,Italy,False,0.0,0,0,26.9,30.0,15,5.0
1990-07-04,Germany,England,1.0,1.0,FIFA World Cup,Turin,Italy,True,0.0,0,0,27.5,55.0,9,9.5
1990-07-07,Italy,England,2.0,1.0,FIFA World Cup,Bari,Italy,False,1.0,1,1,26.9,30.0,15,5.0
1990-07-08,Germany,Argentina,1.0,0.0,FIFA World Cup,Rome,Italy,True,1.0,1,1,27.5,55.0,9,9.5
1990-07-27,Japan,South Korea,0.0,2.0,Dynasty Cup,Beijing,China,True,-2.0,-1,0,27.0,30.0,21,5.0
1990-07-29,South Korea,North Korea,1.0,0.0,Dynasty Cup,Beijing,China,True,1.0,1,1,27.5,30.0,24,5.0
1990-07-31,Japan,North Korea,0.0,1.0,Dynasty Cup,Beijing,China,True,-1.0,-1,0,27.0,30.0,21,5.0
1990-08-15,France,Poland,0.0,0.0,Friendly,Paris,France,False,0.0,0,0,26.8,60.0,2,10.0
1990-08-16,New Zealand,China,2.0,1.0,Friendly,Lower Hutt,New Zealand,False,1.0,1,1,26.0,30.0,48,5.0
1990-08-17,Egypt,Ethiopia,2.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False,2.0,1,1,27.5,30.0,32,5.0
1990-08-19,Cameroon,Mali,0.0,0.0,African Cup of Nations qualification,Yaoundé,Cameroon,False,0.0,0,0,26.8,30.0,35,5.0
1990-08-19,Ivory Coast,Mauritania,2.0,0.0,African Cup of Nations qualification,Abidjan,Ivory Coast,False,2.0,1,1,27.0,30.0,34,5.0
1990-08-19,Morocco,Niger,2.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,False,2.0,1,1,27.1,55.0,6,9.5
1990-08-19,Nigeria,Togo,3.0,0.0,African Cup of Nations qualification,Lagos,Nigeria,False,3.0,1,1,26.2,30.0,33,5.0
1990-08-21,Austria,Switzerland,1.0,3.0,Friendly,Vienna,Austria,False,-2.0,-1,0,27.2,30.0,27,5.0
1990-08-22,Norway,Sweden,1.0,2.0,Friendly,Stavanger,Norway,False,-1.0,-1,0,26.5,55.0,11,9.5
1990-08-24,New Zealand,China,1.0,0.0,Friendly,Auckland,New Zealand,False,1.0,1,1,26.0,30.0,48,5.0
1990-08-27,Mali,Burkina Faso,2.0,1.0,Friendly,Bamako,Mali,False,1.0,1,1,26.0,30.0,36,5.0
1990-08-29,Portugal,Germany,1.0,1.0,Friendly,Lisbon,Portugal,False,0.0,0,0,27.8,30.0,12,5.0
1990-09-01,Ghana,Nigeria,1.0,0.0,African Cup of Nations qualification,Kumasi,Ghana,False,1.0,1,1,26.5,30.0,45,5.0
1990-09-02,Mali,Guinea,1.0,1.0,African Cup of Nations qualification,Bamako,Mali,False,0.0,0,0,26.0,30.0,36,5.0
1990-09-02,Morocco,Mauritania,4.0,0.0,African Cup of Nations qualification,Casablanca,Morocco,False,4.0,1,1,27.1,55.0,6,9.5
1990-09-05,Sweden,Denmark,0.0,1.0,Friendly,Västerås,Sweden,False,-1.0,-1,0,27.4,55.0,10,9.5
1990-09-06,South Korea,Australia,1.0,0.0,Friendly,Seoul,South Korea,False,1.0,1,1,27.5,30.0,24,5.0
1990-09-09,South Korea,Australia,1.0,0.0,Friendly,Seoul,South Korea,False,1.0,1,1,27.5,30.0,24,5.0
1990-09-11,Denmark,Wales,1.0,0.0,Friendly,Copenhagen,Denmark,False,1.0,1,1,27.9,30.0,23,5.0
1990-09-12,Belgium,German DR,0.0,2.0,Friendly,Brussels,Belgium,False,-2.0,-1,0,28.5,55.0,8,9.5
1990-09-12,England,Hungary,1.0,0.0,Friendly,London,England,False,1.0,1,1,26.2,55.0,5,9.5
1990-09-12,Spain,Brazil,3.0,0.0,Friendly,Gijón,Spain,False,3.0,1,1,26.5,60.0,3,9.8
1990-09-12,Switzerland,Bulgaria,2.0,0.0,UEFA Euro qualification,Geneva,Switzerland,False,2.0,1,1,28.2,30.0,17,5.0
